state,program,Investment Type,Investment Dollars,Number of Investments
Delaware,Business Programs,Grant Funds,"62,871",1
Delaware,Business Programs,Grant Funds,"33,534",1
Delaware,Business Programs,Grant Funds,"139,950",1
Delaware,Multifamily Housing,Grant Funds,"264,753",1
Delaware,Multifamily Housing,Grant Funds,"206,489",1
Delaware,Multifamily Housing,Grant Funds,"613,791",1
Delaware,Multifamily Housing,Grant Funds,"508,123",1
Delaware,Single Family Housing,Loan Funds - Direct,"1,796,196",5
Delaware,Single Family Housing,Loan Funds - Direct,"871,900",3
Delaware,Single Family Housing,Loan Funds - Direct,"360,000",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"404,040",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"276,828",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"292,929",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"634,343",2
Delaware,Single Family Housing,Loan Funds - Guaranteed,"252,323",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"368,686",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"408,535",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"231,919",1
Delaware,Single Family Housing,Grant Funds,"10,000",1
Delaware,Single Family Housing,Grant Funds,"20,000",2
Delaware,Single Family Housing,Loan Funds - Direct,"5,300",1
Delaware,Single Family Housing,Loan Funds - Direct,"25,000",1
Delaware,Single Family Housing,Loan Funds - Direct,"420,000",1
Delaware,Single Family Housing,Loan Funds - Direct,"869,200",2
Delaware,Single Family Housing,Loan Funds - Guaranteed,"373,737",1
Delaware,Business Programs,Grant Funds,"154,961",1
Delaware,Business Programs,Grant Funds,"71,188",1
Delaware,Business Programs,Grant Funds,"137,400",1
Delaware,Business Programs,Grant Funds,"250,023",1
Delaware,Business Programs,Grant Funds,"341,817",1
Delaware,Business Programs,Grant Funds,"67,946",1
Delaware,Business Programs,Grant Funds,"164,950",1
Delaware,Multifamily Housing,Grant Funds,"270,285",1
Delaware,Multifamily Housing,Grant Funds,"23,592",2
Delaware,Multifamily Housing,Grant Funds,"294,724",1
Delaware,Multifamily Housing,Grant Funds,"219,152",1
Delaware,Multifamily Housing,Grant Funds,"136,568",1
Delaware,Multifamily Housing,Grant Funds,"177,370",1
Delaware,Multifamily Housing,Grant Funds,"197,383",1
Delaware,Multifamily Housing,Grant Funds,"247,573",1
Delaware,Multifamily Housing,Grant Funds,"125,690",1
Delaware,Multifamily Housing,Grant Funds,"256,628",1
Delaware,Multifamily Housing,Grant Funds,"471,048",1
Delaware,Multifamily Housing,Grant Funds,"253,290",1
Delaware,Multifamily Housing,Grant Funds,"9,156",1
Delaware,Multifamily Housing,Grant Funds,"172,400",1
Delaware,Multifamily Housing,Grant Funds,"149,269",1
